url,registrable,url_length,url_entropy,num_subdomains,is_idn,has_repeated_digits,mixed_script,domain_age_days,is_newly_registered,is_very_new,registrar,country,days_until_expiry,is_self_signed,cert_age_days,has_credential_form,form_count,password_fields,email_fields,has_suspicious_forms,suspicious_form_count,keyword_count,html_size,external_links,iframe_count,js_obfuscated,js_keylogger,js_form_manipulation,js_eval_usage,js_risk_score,redirect_count,had_redirects,a_count,mx_count,ns_count,favicon_md5,favicon_sha256
,airindia.co.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,makemytrip.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,goibibo.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,goindigo.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,yatra.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,airvistara.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,denabank.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,starhealth.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,drdo.gov.in,0,0.0,0,0,0,0,7837,0,0,National Informatics Centre,IN,197,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,iitm.ac.in,0,0.0,0,0,0,0,8264,0,0,ERNET India,,501,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,
,bihar.gov.in,0,0.0,0,0,0,0,6419,0,0,National Informatics Centre,,154,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,
,manipalhospitals.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,fortishealthcare.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,cg.gov.in,0,0.0,0,0,0,0,7388,0,0,National Informatics Centre,IN,281,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,hp.gov.in,0,0.0,0,0,0,0,7416,0,0,National Informatics Centre,IN,253,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,,
,andaman.gov.in,0,0.0,0,0,0,0,7452,0,0,National Informatics Centre,,217,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
https://www.wipro.com/,wipro.com,22,3.516,1,0,0,0,9999,0,0,,,0,0,999,0,2,0,1,0,0,1,360462,49,8,1,0,0,0,0,139,1,0,0,0,d343cd8d97bcde522db104f0ebf19044,f4b7fd9b945d0e45a3928a0b4c47103b0577428b3a83aa5450691b86e256ea58
https://arunachalpradesh.gov.in/,arunachalpradesh.gov.in,32,4.0778,1,0,0,0,7109,0,0,National Informatics Centre,IN,195,0,999,0,0,0,0,0,0,1,131865,86,0,0,1,0,0,25,79,1,1,0,4,6e7210276bfa604d36b610140ca5d507,5a0aa9242e2cbb5a080006271dc08ed369b583ffda880b42b0339e08cfefda13
https://chandigarh.gov.in/,chandigarh.gov.in,26,3.8731,1,0,0,0,7530,0,0,National Informatics Centre,IN,139,0,999,0,1,0,0,0,0,0,94977,53,1,1,0,0,0,0,217,1,1,0,4,7a4659d14ae75420d3e849fcc95bd378,d66eb44a0888a3f736e3a39cb1baa1ffd0c2fba63670458c5866c15a798eb24d
,ap.gov.in,0,0.0,0,0,0,0,8264,0,0,National Informatics Centre,IN,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,,
https://dnh.gov.in/,dnh.gov.in,19,3.5766,1,0,0,0,3690,0,0,National Informatics Centre,IN,327,0,999,0,1,0,0,0,0,0,169734,60,1,1,0,0,0,0,95,1,1,0,4,92ad84f6b8cfafe0bd79051a45fa37ad,7834ca953a4ed77064f85e555cc1cd606fdf472aca6033196db584e2a7e3e40d
https://assam.gov.in/,assam.gov.in,21,3.6538,1,0,0,0,7215,0,0,National Informatics Centre,IN,89,0,999,0,0,0,0,0,0,0,34813,1,0,0,0,0,0,0,4,1,1,3,4,4f6da84debf8af3f372aa57c54df0574,9aebb9c0c3b5a5267ea73a432c30380c2fe3b9d14d0e2427c7456ad026d1b4d5
,csir.res.in,0,0.0,0,0,0,0,8264,0,0,ERNET India,IN,866,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,,
,gov.in,0,0.0,0,0,0,0,139,0,0,National Internet Exchange of India,,3512,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,
,finmin.nic.in,0,0.0,0,0,0,0,7599,0,0,National Informatics Centre,,70,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aai.aero,0,0.0,0,0,0,0,8573,0,0,Tucows Domains Inc.,,192,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,
https://fssai.gov.in/,fssai.gov.in,21,3.6538,1,0,0,0,6286,0,0,National Informatics Centre,IN,287,0,999,0,1,0,0,0,0,4,3158830,596,0,0,0,0,0,0,162,1,1,1,2,fa412c773e732d43e146a9303d5924ff,200f11cd2d09ce8f3d14b21ba3ec6299f97c927203f4300dae8a29eb916fc20c
https://haryana.gov.in/,haryana.gov.in,23,3.7623,1,0,0,0,7868,0,0,National Informatics Centre,IN,166,0,999,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,1,0,4,,
,bhel.com,0,0.0,0,0,0,0,10319,0,0,PDR Ltd. d/b/a PublicDomainRegistry.com,IN,271,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,
https://gujarat.gov.in/,gujarat.gov.in,23,3.8492,1,0,0,0,7899,0,0,National Informatics Centre,IN,136,0,999,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,2,2,3,,
,icmr.gov.in,0,0.0,0,0,0,0,4857,0,0,National Informatics Centre,IN,255,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
,imps.npci.org.in,0,0.0,0,0,0,0,6095,0,0,OVI HOSTING PVT LTD,,1209,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
https://cert-in.org.in/,cert-in.org.in,23,3.7623,1,0,0,0,8183,0,0,S.G.S. Technologie Pvt Ltd dba Netandhost.com,IN,217,0,999,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,73,1,3,1,2,a445420727d0661026c63aa36191e243,b24d7bdfaf62a932f2e01777e97c8061010d120af3815752123ec27b8536f2d6
https://irdai.gov.in/,irdai.gov.in,21,3.749,1,0,0,0,3690,0,0,National Informatics Centre,US,327,0,999,0,2,0,0,0,0,2,529631,64,0,1,0,0,0,20,150,1,2,3,4,bb789a0c0bf3438833f601042be4eb54,678f43adcf805acf1d5b4f3ebc2dd29e27ab23612a4482d05918c69afe5e58da
,ircon.org,0,0.0,0,0,0,0,7277,0,0,"GoDaddy.com, LLC",IN,757,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,,
,ladakh.nic.in,0,0.0,0,0,0,0,7599,0,0,National Informatics Centre,,70,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,karnataka.gov.in,0,0.0,0,0,0,0,8080,0,0,National Informatics Centre,IN,320,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,,
,kerala.gov.in,0,0.0,0,0,0,0,7958,0,0,National Informatics Centre,IN,77,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,
https://manipur.gov.in/,manipur.gov.in,23,3.882,1,0,0,0,5377,0,0,National Informatics Centre,IN,101,0,999,0,1,0,0,0,0,0,73847,29,0,1,0,0,0,0,53,1,1,1,4,c014b9153f4f6ee4896933799837a890,d806e8c82228a9b51a69587b6db6be6c27db040a8a8e82717add6ff25539ea4a
,jk.gov.in,0,0.0,0,0,0,0,7416,0,0,National Informatics Centre,IN,253,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,
https://meghalaya.gov.in/,meghalaya.gov.in,25,3.9435,1,0,0,0,7454,0,0,National Informatics Centre,IN,215,0,999,0,1,0,0,0,0,0,64969,28,4,1,0,0,0,0,241,1,1,1,4,00c289ba07be371e939aa92a56cc2b7f,3ba88249aab8986e39c1c18ac44cecb4258bb43afd87dea4adde8880df9ae472
https://maharashtra.gov.in/,maharashtra.gov.in,27,3.708,1,0,0,0,8390,0,0,National Informatics Centre,IN,10,0,999,0,1,0,0,0,0,1,2174180,14,0,0,0,0,0,0,67,1,1,1,2,0e9ce4a6f37609ff5596a60dbc5eed95,c55783871f373fd978f144b1d9a7d01d4002dde65509a95a04256ec167a5c113
https://mtnl.net.in/,mtnl.net.in,20,3.3464,1,0,0,0,7899,0,0,#1 Indian Domains dba Mitsu.in,IN,136,0,999,0,1,0,0,0,0,0,67802,126,0,0,0,0,0,0,38,1,1,1,7,,
,mha.gov.in,0,0.0,0,0,0,0,7145,0,0,National Informatics Centre,IN,159,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,
,nabard.org,0,0.0,0,0,0,0,9743,0,0,"Network Solutions, LLC",IN,3040,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,
https://newindia.co.in/,newindia.co.in,23,3.7294,1,0,0,0,7895,0,0,Sify Digital Services Limited,IN,139,0,999,0,0,0,0,0,0,2,4108120,126,1,0,0,0,0,0,72,1,1,5,2,0f32eda3820269d7311212ce99e5a2be,934e59ecad6ee8cd81294812b250b13e3e24a30d53ff65007933541fd1b38ad3
https://nationalinsurance.nic.co.in/,nic.co.in,36,3.7454,2,0,0,0,8162,0,0,Netlynx Technologies Pvt. Ltd.,IN,603,0,999,0,1,0,0,0,0,0,277444,108,1,1,0,0,0,0,197,1,1,0,0,936002e74e86e53f60c8fe1645b94e9e,4005a0c45d07b7703b8514048c7072bad338e8e060ae0b7d3e815a43ebf9b8e3
,nhai.gov.in,0,0.0,0,0,0,0,3214,0,0,National Informatics Centre,IN,72,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,nic.in,0,0.0,0,0,0,0,7599,0,0,National Informatics Centre,,70,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,
https://mizoram.gov.in/,mizoram.gov.in,23,3.882,1,0,0,0,7806,0,0,National Informatics Centre,US,228,0,999,0,0,0,0,0,0,1,28007,1,0,0,0,0,0,0,46,1,1,1,2,cf3042959cdd1fc3d97ec594eaec8d9f,3b0e96532e6d459427070fd0b28aba35fb3a54a97a6432ba54b8c9a28524391a
,neft.rbi.org.in,0,0.0,0,0,0,0,8264,0,0,Sify Digital Services Limited,,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,nciipc.gov.in,0,0.0,0,0,0,0,5632,0,0,National Informatics Centre,IN,211,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
https://nalcoindia.com/,nalcoindia.com,23,3.7951,0,0,0,0,9358,0,0,"GoDaddy.com, LLC",IN,502,0,999,0,2,0,0,0,0,2,399313,189,0,1,0,0,0,0,102,1,1,0,2,057eeb0acc852ba1da02d5cf5b62669d,60d2ccf0597071e6aa63231f132a8824920907c7da97d3e6cf6dbc23975c470d
https://nitc.ac.in/,nitc.ac.in,19,3.3264,1,0,0,0,7776,0,0,ERNET India,IN,2815,0,999,0,4,0,0,0,0,2,308623,55,1,0,0,0,0,0,114,1,1,7,5,a3dc3126e8bcebd0deea8605157ae4e4,c52f37b9e0b2d1eee02d732b9f44206e27d21684d22b0ab6e5f4f2c140f72589
,nsdl.co.in,0,0.0,0,0,0,0,8264,0,0,Endurance Digital Domain Technology Private Limited,IN,1597,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,,
https://nta.ac.in/,nta.ac.in,18,3.3083,1,0,0,0,2709,0,0,ERNET India,IN,1673,0,999,0,1,0,0,0,0,3,465727,34,1,0,0,0,0,0,55,1,1,1,2,8a32b20ad1495d67a3462a1dd371af90,2d4958e8e642e66ee52cf78c4c339d5adbdecd7c5fa1bd680be9a4040115e36e
https://orientalinsurance.org.in/,orientalinsurance.org.in,33,3.9226,1,0,0,0,6087,0,0,Sify Digital Services Limited,US,1582,0,999,0,0,0,0,0,0,0,8500,0,1,0,1,0,0,25,42,1,4,0,4,dc192abebacad230030e4af2f9578e44,c404c5936c7e4a92c2ef408d2c163dd6b1b3798b64e038c15c704b2b70fdf285
https://aiims.edu/index.php/en,aiims.edu,30,3.7647,0,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,0,238878,88,2,0,0,0,0,0,130,1,0,0,0,,
,nlcindia.com,0,0.0,0,0,0,0,9454,0,0,gooddomainregistry.com,,42,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,
,pfrda.gov.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,.gov.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
https://www.cbse.gov.in/,cbse.gov.in,24,3.8239,2,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,,
,zoo.gov.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,urban.gov.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,water.gov.in,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
https://punjab.gov.in/,punjab.gov.in,22,3.8797,1,0,0,0,7745,0,0,National Informatics Centre,IN,289,0,999,0,5,0,0,0,0,0,308165,55,2,1,0,0,0,20,153,1,1,1,3,f09bff3b01efc9fced4fa807464b53bf,c84c14292b6d7ebece09721817f8588ab4e358394d0725289bf810afe94572fd
https://rajasthan.gov.in/,rajasthan.gov.in,25,3.7533,1,0,0,0,8172,0,0,National Informatics Centre,IN,228,0,999,0,1,0,0,0,0,0,246062,141,1,0,0,0,0,0,204,1,1,4,2,fcd32f6b3c250bd2ca37bebe0edca9f6,65b48d1d833cde168e18a2e716c127bf871e766c7d32738780a6a7c09f327cb5
https://jharkhand.gov.in/,jharkhand.gov.in,25,3.9435,1,0,0,0,7717,0,0,National Informatics Centre,IN,317,0,999,0,3,0,2,0,0,2,276916,153,3,0,0,1,0,10,118,1,1,1,4,,
https://mp.gov.in/,mp.gov.in,18,3.5724,1,0,0,0,7416,0,0,National Informatics Centre,IN,253,0,999,0,1,0,0,0,0,0,38884,57,0,0,0,0,0,0,86,1,1,1,4,0a87ebdd057a58066f457b031a217c5d,ca7ff996240d8a0fb4324737c5d5b41f1884616ee172d04823b2326d6e5f8df5
,odisha.gov.in,0,0.0,0,0,0,0,5058,0,0,National Informatics Centre,IN,55,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,,
https://nagaland.gov.in/,nagaland.gov.in,24,3.7406,1,0,0,0,6761,0,0,National Informatics Centre,IN,178,0,999,0,0,0,0,0,0,0,52978,32,0,0,0,0,0,0,13,1,1,1,2,29d5fb005668d8b824d7083786252fd9,e7e9a528900b73ff82f9f8a95ea502b26afb9142c416fa2c85af0694dfd6799c
https://py.gov.in/,py.gov.in,18,3.5724,1,0,0,0,7416,0,0,National Informatics Centre,IN,253,0,999,0,1,0,0,0,0,1,121736,44,0,1,0,1,0,10,137,1,1,1,3,00c46d96684f80bba586f92a4e91255e,e627f85931ed1a8ab2a8a3c7d485f8a49714f6740a3ed91b1f59b2f64cd09859
,telangana.gov.in,0,0.0,0,0,0,0,4184,0,0,National Informatics Centre,IN,198,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,
https://tripura.gov.in/,tripura.gov.in,23,3.7623,1,0,0,0,7556,0,0,National Informatics Centre,IN,113,0,999,0,0,0,0,0,0,0,257088,70,1,1,0,0,0,0,198,1,1,1,4,155d25997edcb83aca9b9c158916d832,db55cf907a70ea06553457fd9c9b9945010f0ba527d8bef9327e5fd2335a40b4
,wb.gov.in,0,0.0,0,0,0,0,8271,0,0,National Informatics Centre,IN,136,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,,
,up.gov.in,0,0.0,0,0,0,0,7416,0,0,National Informatics Centre,IN,253,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,uk.gov.in,0,0.0,0,0,0,0,6121,0,0,National Informatics Centre,IN,87,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,,
,tcs.com,0,0.0,0,0,0,0,10185,0,0,"Network Solutions, LLC",IN,2231,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,,
https://www.bhimupi.org.in/,bhimupi.org.in,27,3.8282,2,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,2,52503,33,3,1,0,0,0,0,69,1,0,0,0,fb73d19d9b99fd10761c01385dbc15d9,d7c5a6b0e4491e558352e046b3c34ddf99734aa66ff974675f61a955c2a4be57
https://aicte.gov.in/,aicte-india.org,21,3.749,1,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,3,234589,64,6,1,0,0,0,0,138,1,0,0,0,e38879390071049592c7aeb6d7fa4e76,e6831b2c38f61a6eab3ab17e7dfa783b005e3b59d99fb5634d24798484e4e810
https://www.bseindia.com/,bseindia.com,25,3.9435,1,0,0,0,9999,0,0,,,0,0,999,0,2,0,0,0,0,2,435347,95,3,0,0,0,0,0,128,1,0,0,0,4584b85b70e3927c001bbf719205a51d,3d7a879469a93c0f151c1e718ea682a1ec0eaf664fa3f356068a89938d0bd25c
https://www.epfindia.gov.in/site_en/index.php,epfindia.gov.in,45,4.0003,2,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,4,397607,475,0,1,1,0,0,25,42,1,0,0,0,240211bf7cb5c0af305185d1d53498db,b8f75849575c0396e5ccc4de45a0735a3ff83459784ee000b7acf7b6d9876c1c
https://www.dgft.gov.in/CP/,dgft.gov.in,27,3.8562,2,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,4,188507,221,5,1,0,1,0,20,93,1,0,0,0,4f6da84debf8af3f372aa57c54df0574,9aebb9c0c3b5a5267ea73a432c30380c2fe3b9d14d0e2427c7456ad026d1b4d5
https://www.goa.gov.in/,goa.gov.in,23,3.6425,2,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,1,136760,31,1,0,1,0,0,25,105,1,0,0,0,c5bc9f3eca4c6372c68fa71543e7c264,0ba8c69a4bffd500ddf5537a61541e1e78b184beee9429aef48833b5729be900
https://esic.gov.in/,esic.nic.in,20,3.6842,1,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,2,85836,64,0,0,0,0,0,0,69,1,0,0,0,f602eb72fe8c8cae67c3944580bc8c08,b35a249801b48fa6bb4af098e7ce0d0254e37be349d845cd28541b6e586dde9a
https://home.iitd.ac.in/,iitd.ac.in,24,3.7091,2,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,0,295663,511,0,1,0,0,0,0,144,1,0,0,0,628e012a5e771720a057adc0c406f5f9,44cd0aeb3e43a77a4ac048e5b9db4ffa0f7e39cb8f32c9454eee4a661ff352bb
https://www.gst.gov.in/,gst.gov.in,23,3.5227,2,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,3,333604,15,3,0,0,0,0,0,74,1,0,0,0,c0d60d28cb9ef691ceb188b69003d7eb,e4c6bb2bc32eba1cffe8732461655277cfa66c15b7b2be8493771c8c160543fe
https://www.iitb.ac.in/,iitb.ac.in,23,3.4899,2,0,0,0,9999,0,0,,,0,0,999,0,2,0,0,0,0,1,432467,92,0,1,0,0,0,0,55,1,0,0,0,ab8f86ed81462ae45abeeccfd59d6dc6,994781896f3c2630d1d911f3f7655357655f46890d13879c054eab0ad7266ed2
http://www.education.gov.in/,education.gov.in,28,3.9138,2,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,,
https://www.idbi.bank.in/,idbi.com,25,3.6431,2,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,3,174526,367,0,0,0,0,0,0,85,1,0,0,0,24f8a597e80870fc7b012a211e92c7bc,7574656a9d32fe465a5801645e9a5ff547da76018ae49cc8050bdbab67cae501
https://www.tn.gov.in/,tn.gov.in,22,3.504,2,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,1,264149,110,4,0,0,0,0,0,144,1,0,0,0,927c2d2fddf95b5fc0c0a638529ea22e,a611a90fa3ab2fbaabdca527cebb774f3e85020d18e63ff81baeac610ec676c1
https://www.sebi.gov.in/,sebi.gov.in,24,3.7406,2,0,0,0,9999,0,0,,,0,0,999,0,1,1,0,0,0,3,189565,154,0,0,1,0,0,25,72,1,0,0,0,68bb092391204108a07854e818b1366b,0540b138570ec5567c6eb3d3901e6593619742d3bfe0c29e5306400fdf529b21
https://www.sikkim.gov.in/,sikkim.gov.in,26,3.7381,2,0,0,0,9999,0,0,,,0,0,999,0,1,0,0,0,0,1,104708,32,2,0,0,0,0,0,76,1,0,0,0,59aa94642408f3628f65424eec945b4a,533ac2d174aadd8ac03493cf811e99f460258bd58b33cbc01697f7295b231048
,iciciprulicfe.com,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,sldcdelhi.org,0,0.0,0,0,0,0,9999,0,0,,,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
https://sjvn.nic.in/,sjvn.nic.in,20,3.4464,1,0,0,0,7602,0,0,National Informatics Centre,IN,67,0,999,0,0,0,0,0,0,0,141183,60,0,0,0,0,0,0,212,1,1,1,0,4b85a969c65a87bf920cc51c216b246f,49d9e0fa08d681749726b6f2ace2c0084679a269ac45f6c72bca4b5af9652015
https://recindia.nic.in/,recindia.nic.in,24,3.6054,1,0,0,0,7602,0,0,National Informatics Centre,IN,67,0,999,0,2,0,0,0,0,0,79359,87,0,0,0,0,0,0,79,1,1,0,0,15cb4d0dd1f73ae6d24981103d338812,fbe8ed5679ba8757906c731f8173b352a7149890c5e24b50e352982262602b50
